AXP,DuPont,3M,Walmart,Alcoa,Exxon,McDonald,WaltDisney,Boeing,Ford,Merck,CAT,GE,PG,Chevron,IBM,Pfizer,CocaCola,J&J,UTX
1.9428,1.8233,2.1445,1.8745,1.1173,2.0003,2.0033,1.9157,2.1149,1.1909,1.7455,2.0072,1.4128,1.8998,2.0845,2.2632,1.4646,1.602,2.0012,2.056
1.9413,1.8214,2.1456,1.876,1.129,2.0026,2.0038,1.9148,2.112,1.1951,1.7462,2.0063,1.4178,1.8989,2.086,2.2649,1.4633,1.605,1.999,2.0553
1.9375,1.818,2.1416,1.8762,1.1271,1.9968,1.9994,1.909,2.1074,1.1906,1.7418,2.0007,1.4188,1.8976,2.0869,2.2614,1.4586,1.602,1.9952,2.0486
1.9426,1.8203,2.146,1.8814,1.1229,1.9976,2.0018,1.9088,2.1133,1.1886,1.7444,2.0168,1.4176,1.8959,2.0891,2.2663,1.4589,1.6033,1.9968,2.056
1.9395,1.8202,2.1444,1.8837,1.1307,1.9971,2.0062,1.9052,2.1115,1.1903,1.7408,2.0194,1.4203,1.8981,2.0944,2.2665,1.4567,1.6052,1.9966,2.0543
1.94,1.819,2.1439,1.8827,1.138,1.9973,2.0035,1.9039,2.1128,1.1934,1.7409,2.0151,1.4229,1.8992,2.0925,2.2651,1.4558,1.6013,1.997,2.0585
1.9442,1.8247,2.1458,1.8933,1.1386,2.0037,2.0057,1.9081,2.1187,1.1928,1.7446,2.0214,1.4218,1.9026,2.0904,2.2703,1.4564,1.6052,1.9978,2.0645
1.9473,1.8245,2.1484,1.8955,1.1206,2.004,2.0078,1.9142,2.1202,1.1909,1.7398,2.024,1.4146,1.905,2.0897,2.2782,1.4579,1.6076,1.9985,2.0676
1.9501,1.8248,2.1496,1.8956,1.1216,2.0035,2.005,1.916,2.1174,1.192,1.7362,2.0201,1.415,1.9056,2.0899,2.2791,1.4568,1.6044,1.9963,2.0672
1.9461,1.8222,2.145,1.8959,1.1219,2.0023,2.0053,1.9135,2.1124,1.1821,1.7356,2.0154,1.4165,1.9091,2.0938,2.2734,1.4553,1.605,1.998,2.0612
1.945,1.8243,2.1435,1.893,1.1216,2.0009,2.0012,1.9117,2.1107,1.185,1.7326,2.0149,1.4109,1.9079,2.0894,2.2707,1.4574,1.6035,1.9962,2.0613
1.9419,1.8239,2.1444,1.889,1.1287,2.0042,2.0012,1.9047,2.1099,1.1901,1.7405,2.0136,1.4173,1.9075,2.0908,2.2716,1.4551,1.6054,1.998,2.0608
1.933,1.8184,2.1387,1.8866,1.1348,2.0024,1.9969,1.9086,2.1091,1.1945,1.7503,2.0105,1.419,1.9024,2.0886,2.2708,1.4574,1.601,1.9919,2.0575
